,shootID,Scoring DriveFGPCT,Scoring CatchShootFGPCT,Scoring PullUpFGPCT,Scoring ITPFGPCT,Scoring PostFGPCT,Scoring ElbowFGPCT
413,202331,0.497,0.409,0.395,0.556,0.345,0.643
414,200794,0.436,0.448,0.333,0.603,0.459,0.542
415,1628778,0.333,0.429,0.143,1.0,0.0,0.5
416,1626188,0.407,0.438,0.397,0.714,0.0,1.0
417,1629683,0.6,0.0,0.2,0.0,0.0,0.5
418,1629628,0.371,0.335,0.27,0.529,0.542,0.765
419,200765,0.47,0.351,0.337,0.5,0.0,0.333
420,203526,0.484,0.464,0.313,0.333,0.0,0.667
421,1629730,0.611,0.167,0.364,0.5,0.0,0.0
422,203493,0.333,0.355,0.359,0.556,1.0,0.625
423,202704,0.414,0.4,0.358,0.714,0.0,0.0
424,1626158,0.235,0.564,0.467,0.702,0.588,0.6
425,201937,0.43,0.411,0.366,0.286,1.0,0.5
426,203496,0.52,0.336,0.379,0.721,0.0,0.64
427,1629057,0.0,0.5,0.5,0.761,1.0,0.7
428,201577,0.6,0.324,0.333,0.582,0.548,0.561
429,1629066,0.444,0.369,0.222,0.688,0.0,0.5
430,203918,0.55,0.5,0.486,0.714,0.467,0.0
431,203585,0.523,0.291,0.267,0.545,0.0,0.5
432,1629641,0.4,0.185,0.25,0.583,0.0,0.0
433,1626178,0.49,0.143,0.393,0.524,0.5,0.575
434,1626220,0.509,0.395,0.27,0.733,0.0,0.769
435,200752,0.511,0.351,0.473,0.711,0.407,0.647
436,203497,0.7,0.2,0.0,0.714,0.571,0.559
437,1629060,0.413,0.313,0.416,0.58,0.293,0.434
438,201566,0.557,0.281,0.376,0.493,0.357,0.529
439,201583,0.0,0.5,0.0,0.0,0.0,0.0
440,1627853,0.348,0.391,0.364,0.563,0.0,0.857
441,1629151,0.4,0.396,0.4,0.0,0.0,0.0
442,1629635,0.348,0.277,0.263,0.59,0.6,0.667
443,1628400,0.348,0.388,0.357,0.44,0.0,0.2
444,201586,0.39,0.397,0.389,0.653,0.5,0.533
445,203552,0.504,0.484,0.435,0.778,0.0,0.75
446,203894,0.458,0.333,0.348,0.909,0.0,1.0
447,1628983,0.489,0.385,0.437,0.731,1.0,0.786
448,1629003,0.5,0.435,0.391,0.667,0.0,0.333
449,1629044,1.0,1.0,0.0,0.0,0.0,0.0
450,1627885,0.397,0.382,0.368,0.667,0.0,0.889
451,1628414,0.5,0.5,0.0,0.0,0.0,0.0
452,1627746,1.0,0.548,0.333,0.549,0.273,0.576
453,203524,0.36,0.366,0.486,0.571,0.25,0.5
454,203915,0.473,0.365,0.292,0.55,0.25,0.615
455,1626169,0.571,0.25,0.25,0.4,0.0,0.0
456,1629742,0.0,0.0,0.0,0.0,0.0,0.0
457,201939,0.538,0.292,0.351,0.6,0.0,0.6
458,1628425,0.392,0.358,0.25,0.632,0.0,0.2
459,203500,0.615,0.643,0.4,0.598,0.486,0.688
460,1629004,0.274,0.416,0.358,0.667,0.0,0.8
461,1628388,0.364,0.238,0.0,0.483,0.8,0.3
462,204456,0.561,0.478,0.409,0.421,0.0,0.692
