,Player ID,Scoring percentPTS2PT_MR,Scoring percentPTS3PT,Scoring percentPTSFBPs,Scoring percentPTSFT,Scoring percentPTSOffTO,Scoring percentPTSPITP,Scoring 2FGMpercentAST,Scoring 3FGMpercentAST,Scoring FGMpercentAST,Scoring DriveFGPCT,Scoring CatchShootFGPCT,Scoring PullUpFGPCT,Scoring ITPFGPCT,Scoring PostFGPCT,Scoring ElbowFGPCT,Scoring RA FGPCT,Scoring ITP(NonRA) FGPCT,Scoring MR FGPCT,Scoring LC3 FGPCT,Scoring RC3 FGPCT,Scoring ATB3 FGPCT,Scoring Backcourt3 FGPCT,Scoring Corner FGPCT
38,203145.0,6.9,45.6,18.4,18.4,18.0,29.0,48.7,95.5,70.1,47.4,41.0,39.4,64.5,50.0,87.5,61.199999999999996,48.1,49.5,36.4,34.8,37.7,0.0,35.6
39,1628995.0,8.8,46.8,11.2,15.3,17.3,29.0,55.1,94.7,73.0,45.4,41.9,36.4,68.60000000000001,51.9,76.5,60.8,38.800000000000004,27.900000000000002,50.0,42.6,39.300000000000004,0.0,45.4
40,1628365.0,13.4,12.6,14.9,14.0,15.1,60.0,31.8,85.2,37.3,75.0,40.0,25.0,55.60000000000001,100.0,0.0,77.8,60.0,0.0,0.0,0.0,66.7,0.0,0.0
41,1628467.0,2.1,53.4,6.6,12.6,12.6,31.9,84.1,100.0,92.3,38.0,46.800000000000004,33.0,73.3,0.0,66.7,63.2,28.4,37.7,66.7,66.7,34.4,0.0,66.7
42,1628970.0,2.8,35.8,11.8,11.6,13.9,49.7,50.8,96.4,65.1,52.5,38.0,38.3,51.0,38.5,59.4,65.0,39.900000000000006,41.3,36.8,21.7,36.0,0.0,31.1
43,1626149.0,0.4,0.0,11.5,18.1,14.2,81.5,61.3,0.0,61.3,58.599999999999994,41.699999999999996,52.7,68.60000000000001,46.2,60.4,74.2,58.199999999999996,32.4,33.300000000000004,31.3,40.0,0.0,32.1
44,202357.0,3.0,50.1,9.0,7.8,14.7,39.1,54.3,94.6,72.1,44.6,22.0,40.400000000000006,57.099999999999994,0.0,50.0,57.4,42.1,38.9,28.599999999999998,0.0,35.3,0.0,11.799999999999999
45,0.0,1.4,36.9,19.9,7.8,26.0,53.9,67.3,94.1,75.6,47.599999999999994,40.9,38.800000000000004,65.2,41.4,56.49999999999999,62.5,37.2,43.2,45.0,41.3,37.6,0.0,43.4
46,200782.0,4.0,59.5,7.8,9.3,16.1,27.1,74.2,98.7,87.9,44.800000000000004,31.3,36.1,100.0,0.0,0.0,33.300000000000004,44.4,33.300000000000004,33.300000000000004,33.300000000000004,34.5,0.0,33.300000000000004
47,201988.0,10.1,61.6,16.3,11.2,14.8,17.1,50.0,79.2,67.6,100.0,0.0,0.0,33.300000000000004,0.0,0.0,40.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
48,1626220.0,0.6,62.3,22.0,7.5,16.0,29.6,89.6,100.0,95.6,51.800000000000004,31.900000000000002,45.6,61.7,49.5,60.9,66.9,40.6,53.300000000000004,33.300000000000004,30.599999999999998,31.0,0.0,31.900000000000002
49,201152.0,2.7,34.5,13.6,6.5,20.3,56.3,58.4,91.7,67.8,39.900000000000006,35.9,17.2,58.4,66.7,72.0,54.400000000000006,35.8,30.8,39.300000000000004,43.8,22.2,0.0,41.699999999999996
50,1626168.0,6.9,46.4,8.6,7.6,18.2,39.2,76.1,100.0,85.7,44.4,17.9,37.5,65.4,33.300000000000004,50.0,62.5,45.5,50.0,20.0,33.300000000000004,5.6000000000000005,0.0,28.599999999999998
51,1626145.0,12.3,27.3,22.2,7.5,16.6,52.9,41.0,79.4,49.4,41.699999999999996,14.7,35.699999999999996,67.0,58.3,53.300000000000004,68.5,32.300000000000004,42.9,0.0,10.0,18.2,0.0,6.7
52,1627732.0,0.9,0.7,22.9,19.7,19.0,78.7,51.0,100.0,51.3,52.7,38.800000000000004,41.5,28.599999999999998,0.0,33.300000000000004,64.4,38.6,43.9,33.300000000000004,45.5,38.800000000000004,0.0,40.5
53,202711.0,2.9,45.6,12.1,18.8,16.6,32.7,51.5,86.4,67.6,51.6,40.1,39.5,51.9,50.0,50.0,64.0,34.4,39.800000000000004,46.300000000000004,47.9,37.6,0.0,46.9
54,202954.0,6.8,24.8,26.2,25.1,20.5,43.3,42.0,89.7,53.8,49.0,45.9,42.6,47.4,0.0,72.7,55.60000000000001,43.8,48.9,57.49999999999999,52.5,34.699999999999996,0.0,55.00000000000001
55,1626174.0,3.4,20.2,10.3,23.2,15.8,53.2,71.4,90.0,75.0,37.5,31.0,25.0,33.300000000000004,0.0,0.0,46.2,16.7,20.0,0.0,40.0,32.1,0.0,28.599999999999998
56,1629647.0,3.4,37.8,10.5,13.4,18.9,45.4,63.8,96.7,75.0,29.4,60.6,15.4,63.6,100.0,100.0,40.0,33.300000000000004,22.2,50.0,60.0,53.300000000000004,0.0,57.099999999999994
57,1629636.0,15.4,44.4,9.3,9.3,14.4,30.9,26.7,71.9,44.3,100.0,37.5,0.0,60.9,57.099999999999994,69.19999999999999,72.39999999999999,50.0,25.0,0.0,0.0,0.0,0.0,0.0
58,1629631.0,12.7,40.3,12.2,13.6,12.1,33.4,56.4,94.3,70.3,39.2,34.0,33.800000000000004,48.3,0.0,30.0,52.1,33.7,35.5,32.5,31.7,33.7,0.0,32.1
59,1626153.0,2.6,26.5,12.2,15.8,17.4,55.1,27.0,79.4,39.3,48.3,39.0,32.4,59.5,0.0,50.0,66.7,12.5,38.9,41.5,39.300000000000004,38.2,0.0,40.400000000000006
60,1628378.0,14.1,30.0,5.8,15.9,7.6,39.9,21.6,58.1,31.4,47.8,44.0,45.5,50.0,0.0,0.0,58.8,36.4,33.300000000000004,0.0,50.0,56.49999999999999,0.0,40.0
61,2730.0,1.0,2.2,6.0,17.6,15.0,79.2,62.7,100.0,63.3,41.5,32.1,39.900000000000006,56.10000000000001,55.60000000000001,45.0,55.60000000000001,38.7,31.5,44.4,57.099999999999994,35.099999999999994,0.0,48.0
62,202397.0,21.4,25.2,15.2,7.5,18.4,45.9,19.8,70.8,30.0,50.0,40.2,40.400000000000006,49.3,40.6,40.9,52.0,46.2,39.900000000000006,35.699999999999996,62.9,34.300000000000004,0.0,55.1
63,1628386.0,0.3,0.0,4.8,21.8,13.8,77.8,79.5,0.0,79.5,23.799999999999997,34.1,36.4,0.0,0.0,0.0,33.300000000000004,0.0,50.0,0.0,25.0,34.300000000000004,0.0,11.1
64,203903.0,3.4,42.5,9.7,13.4,13.9,40.6,24.6,75.7,44.6,47.3,37.9,36.0,47.599999999999994,40.0,38.9,57.9,36.6,35.0,44.800000000000004,39.1,37.9,0.0,41.3
