,PLAYER_ID,PCT_STL,PCT_BLK,DEF_WS,postupdefense Poss,postupdefense PPP,Defense UnderRim OPPFGPCT,Defense <5ft OPPFGPCT,Defense 5-9ft OPPFGPCT,Defense 10-14ft OPPFGPCT,Defense 15-19ft OPPFGPCT,Defense 20-24ft OPPFGPCT,Defense 25-29ft OPPFGPCT,Defense 30-34ft OPPFGPCT,Defense 35-39ft OPPFGPCT,Defense 40+ft OPPFGPCT
69,204456.0,26.200000000000003,8.9,6.6000000000000005,0.0,0.0,0.583,0.606,0.429,0.373,0.466,0.406,0.37,0.0,0.5,0.0
70,1627752.0,23.400000000000002,14.6,8.9,0.9,1.21,0.611,0.662,0.538,0.385,0.333,0.353,0.309,0.0,0.0,0.0
71,203082.0,24.5,10.299999999999999,8.799999999999999,0.2,1.09,0.52,0.562,0.37,0.396,0.461,0.342,0.335,0.0,0.0,0.0
72,1626179.0,21.6,5.2,5.5,0.4,1.26,0.647,0.577,0.448,0.411,0.468,0.384,0.269,0.0,0.0,0.0
73,201572.0,16.7,62.0,14.799999999999999,0.6,1.07,0.682,0.691,0.396,0.438,0.259,0.3,0.318,0.5,0.0,0.0
74,203468.0,16.2,12.8,5.6000000000000005,0.5,0.76,0.772,0.613,0.423,0.421,0.428,0.38,0.365,0.24,0.25,0.0
75,201980.0,25.8,13.100000000000001,9.5,0.7,1.09,0.694,0.648,0.268,0.438,0.367,0.319,0.407,0.5,0.0,0.0
76,201942.0,20.599999999999998,7.8,5.1,0.9,1.06,0.569,0.619,0.397,0.492,0.411,0.381,0.333,0.357,0.0,0.0
77,1628401.0,18.4,30.3,7.1,0.4,0.65,0.579,0.64,0.354,0.364,0.416,0.358,0.361,0.091,0.0,0.0
78,1626164.0,12.9,8.5,7.000000000000001,0.5,1.0,0.717,0.645,0.423,0.474,0.407,0.398,0.333,0.125,0.0,0.0
79,1627734.0,14.399999999999999,14.899999999999999,12.3,1.0,0.8,0.617,0.612,0.457,0.483,0.542,0.375,0.354,0.125,1.0,0.0
80,1629684.0,16.900000000000002,28.999999999999996,7.000000000000001,0.5,1.18,0.634,0.661,0.422,0.493,0.429,0.39,0.367,0.071,0.25,0.0
81,1628991.0,15.6,46.7,6.7,1.1,0.98,0.783,0.676,0.426,0.408,0.439,0.387,0.379,0.432,0.333,0.0
82,1629633.0,21.099999999999998,19.7,6.800000000000001,0.5,0.92,1.0,0.857,0.333,0.0,0.0,0.444,0.444,0.5,0.0,0.0
83,1629637.0,14.6,47.8,4.7,0.8,1.1,0.658,0.653,0.411,0.479,0.378,0.371,0.324,0.231,1.0,0.0
84,203925.0,14.7,8.5,8.0,0.4,0.86,0.769,0.654,0.437,0.558,0.396,0.404,0.311,0.0,0.0,0.5
85,101150.0,17.2,6.7,9.8,0.3,0.47,0.762,0.711,0.3,0.436,0.4,0.514,0.342,0.333,0.0,0.0
86,1628370.0,16.6,15.0,4.2,0.3,0.92,0.754,0.642,0.387,0.471,0.46,0.433,0.363,0.25,0.5,0.125
87,203496.0,28.299999999999997,33.7,8.9,0.7,0.94,0.792,0.609,0.406,0.434,0.48,0.397,0.296,0.0,0.0,0.0
88,203497.0,17.4,68.5,12.3,0.9,0.69,0.605,0.574,0.329,0.455,0.444,0.324,0.349,0.0,0.0,0.0
89,203933.0,23.0,13.8,11.5,0.3,1.35,0.571,0.686,0.429,0.4,0.385,0.392,0.35,0.2,0.0,0.0
90,201959.0,15.4,40.5,2.5,0.6,0.84,0.579,0.651,0.432,0.488,0.485,0.39,0.407,0.273,1.0,0.25
91,1627748.0,20.5,50.6,2.7,0.0,0.0,0.763,0.582,0.387,0.39,0.375,0.412,0.376,0.154,0.0,0.0
